component_name,price,currency,store,url,scraped_at
Be quiet! PURE POWER 12 M,5199.00,MDL,enter.online,https://enter.online/calculatoare/power-supply/be-quiet-pure-power-12-m-80-gold-1200-w,2026-06-12 22:02:15
Be quiet! PURE POWER 12 M 1200 W Black,5199.00,MDL,darwin.md,https://darwin.md/be-quiet-pure-power-12-m-80-gold-1200-w.html,2026-06-12 22:02:15
Carcasă 1STPLAYER MV8-TP White micro ATX,1229.00,MDL,darwin.md,https://darwin.md/carcasa-1stplayer-mv8-tp-mid-tower-white.html,2026-06-12 22:02:15
"Carcasă 1STPLAYER Mi7-A, Black",809.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/1stplayer-mi7-a-black,2026-06-12 22:02:15
Carcasă 1STPLAYER Mi8 Black micro ATX,1389.00,MDL,darwin.md,https://darwin.md/carcasa-1stplayer-mi8-mid-tower-black.html,2026-06-12 22:02:15
Carcasă 1STPLAYER RB-4 Black ATX,479.00,MDL,darwin.md,https://darwin.md/carcasa-1stplayer-rb-4-mid-tower-black.html,2026-06-12 22:02:15
"Carcasă 1STPLAYER RB-4, Black",459.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/1stplayer-rb-4-black,2026-06-12 22:02:15
Carcasă 1STPLAYER UV5 Black ITX,999.00,MDL,darwin.md,https://darwin.md/carcasa-1stplayer-uv5-mid-tower-black.html,2026-06-12 22:02:15
Carcasă A4Tech Bloody GH-30 Black micro ATX,1889.00,MDL,darwin.md,https://darwin.md/a4tech-bloody-gh-30-atx-black-red.html,2026-06-12 22:02:15
"Carcasă ASUS ProArt PA401 Wood Edition, Beige",2709.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/asus-proart-pa401-wood-edition-beige,2026-06-12 22:02:15
Carcasă Asus A23 PLUS Black micro ATX,2259.00,MDL,darwin.md,https://darwin.md/carcasa-asus-a23-plus-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Asus ProArt PA401 Wood Edition Black ATX,2799.00,MDL,darwin.md,https://darwin.md/carcasa-asus-proart-pa401-wood-edition-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Asus ProArt PA602 Black micro ATX,5749.00,MDL,darwin.md,https://darwin.md/carcasa-asus-proart-pa602-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Be quiet! Ligh Base 600 DX White micro ATX,3209.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-ligh-base-600-dx-mid-tower-white.html,2026-06-12 22:02:15
Carcasă Be quiet! Ligh Base 600 LX Black XL-ATX,3659.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-ligh-base-600-lx-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Be quiet! Ligh Base 900 DX Black XL-ATX,3559.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-ligh-base-900-dx-full-tower-black.html,2026-06-12 22:02:15
Carcasă Be quiet! Ligh Base 900 DX White XL-ATX,3679.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-ligh-base-900-dx-full-tower-white.html,2026-06-12 22:02:15
Carcasă Be quiet! Pure Base 501 LX Black micro ATX,2849.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-pure-base-501-lx-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Be quiet! Shadow Base 800 FX Black micro ATX,4699.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-shadow-base-800-fx-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Be quiet! Shadow Base 800 FX White micro ATX,4849.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-shadow-base-800-fx-mid-tower-white.html,2026-06-12 22:02:15
Carcasă Chieftec APEX Lumo Black micro ATX,2099.00,MDL,darwin.md,https://darwin.md/carcasa-chieftec-apex-lumo-mid-tower-black.html,2026-06-12 22:02:15
