component_name,price,currency,store,url,category,scraped_at
1stPlayer AY7-BK-4F1 без БЖ Black,1849.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-ay7-bk-4f1-bez-bp-black/,case,2026-06-19 12:42:07
1stPlayer BV5 (белый),88.18,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/bv5bk2fh7r1fhw,case,2026-06-19 12:42:07
1stPlayer BV5 (черный),82.43,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/bv5bk2fh7r1fh7,case,2026-06-19 12:42:07
1stPlayer D3-A-WH-1F7-14-W-1F7-W без БЖ White,1799.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-d3-a-wh-1f7-14-w-1f7-w-bez-bp-white/,case,2026-06-19 12:42:07
1stPlayer FIRE DANCING V3-B (черный),108.83,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/v3bbk4fs1,case,2026-06-19 12:42:07
1STPLAYER MEGAVIEW MV8-TP Black,5260.00,RUB,regard.ru,https://www.regard.ru/product/654490,case,2026-06-19 12:42:07
1STPLAYER PS8MX,6930.00,RUB,regard.ru,https://www.regard.ru/product/492552,case,2026-06-19 12:42:07
1stPlayer RT5 ARGB (черный),88.00,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/rt5bk2fc7r1fc7,case,2026-06-19 12:42:07
1stPlayer RT7 RT7-WH (белый),160.70,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/rt7wh,case,2026-06-19 12:42:07
1stPlayer T5-4F1-W-WH без БЖ White,1849.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-t5-4f1-bez-bp-white/,case,2026-06-19 12:42:07
1STPLAYER TRILOBITE T7-P Black,4370.00,RUB,regard.ru,https://www.regard.ru/product/664354,case,2026-06-19 12:42:07
1STPLAYER TRILOBITE T7-P White,4470.00,RUB,regard.ru,https://www.regard.ru/product/664355,case,2026-06-19 12:42:07
1stPlayer V3-B-BK-4F1 без БЖ Black,1399.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-v3-b-bk-4f1-bez-bp-black/,case,2026-06-19 12:42:07
1stPlayer VT6-WH без БЖ White,2199.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-vt6-wh-bez-bp-white/,case,2026-06-19 12:42:07
1stPlayer VT7 (белый),118.00,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/vt7wh4fs7w,case,2026-06-19 12:42:07
1stPlayer X4-M-2F1P-1F1-BK без БЖ Black,1399.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-x4-m-2f1p-1f1-bk-bez-bp-black/,case,2026-06-19 12:42:07
Accord ACC-JPX,99.00,BYN,onliner.by,https://catalog.onliner.by/chassis/accord/accjpx,case,2026-06-19 12:42:07
ACCORD ACC-M802 Black,1280.00,RUB,regard.ru,https://www.regard.ru/product/778786,case,2026-06-19 12:42:07
ACD Citadel 107 Black,3060.00,RUB,regard.ru,https://www.regard.ru/product/493241,case,2026-06-19 12:42:07
ACD Citadel 108B Black,2670.00,RUB,regard.ru,https://www.regard.ru/product/757355,case,2026-06-19 12:42:07
ADATA XPG DEFENDER Black,5840.00,RUB,regard.ru,https://www.regard.ru/product/402620,case,2026-06-19 12:42:07
